Rank,Name,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Career
1,Joe Mauer,,,"$325,000","$400,000","$3,750,000","$6,325,000","$10,675,000","$12,575,000","$23,000,000","$23,025,000","$23,050,000","$23,000,000","$23,000,000","$23,000,000","$23,000,000","$23,000,000",,,,,"$218,125,000"
2,Felix Hernandez,,,,"$340,000","$420,000","$540,000","$3,875,000","$7,200,000","$11,950,000","$19,750,000","$20,607,142","$23,607,142","$24,907,142","$25,857,142","$26,857,142","$26,857,142","$27,857,142",,,,"$220,624,994"
3,Delmon Young,,,,"$500,000","$600,000",,"$1,152,000","$2,600,000","$5,375,000","$6,750,000","830,327","$1,000,000","$2,250,000",,,,,,,,"$21,057,327"
4,Ian Stewart,,,,,,,,,,,"$2,000,000","$900,000",,,,,,,,,"$2,900,000"
5,Joel Guzman,,,,,,,,,,,,,,,,,,,,,$0
6,Casey Kotchman,,,,,,,,,"$750,000","$3,000,000","$700,000",,,,,,,,,,"$4,450,000"
7,Scott Kazmir,,,"$316,000","$371,700","$424,300","$3,785,000","$6,000,000","$8,000,000","$12,000,000",,"$2,750,000","$11,050,000","$13,000,000","$8,000,000","$8,000,000","$16,000,000","$8,000,000","$8,000,000","$8,080,650",,"$113,777,650"
8,Rickie Weeks,"$820,000","$2,720,000","$1,120,000","$1,220,000","$1,320,000","$1,057,000","$2,450,000","$2,750,000","$7,500,000","$10,000,000","$10,000,000","$11,000,000","$3,000,000","$1,500,000","$1,500,000",,,,,,"$57,957,000"
9,Andy Marte,,,,,,,,,,,,,,,,,,,,,$0
10,Hanley Ramirez,,,,"$327,000","$402,000","$439,000","$5,550,000","$7,050,000","$11,000,000","$15,000,000","$15,500,000","$16,000,000","$22,000,000","$22,000,000","$22,000,000","$22,000,000","$123,648",,,,"$159,391,648"
11,Lastings Milledge,,,,,"$383,000","$402,500","$452,000","$452,000","$500,000",,,,,,,,,,,,"$2,189,500"
12,Dallas McPherson,,,,,"$382,500","$425,000","$122,951",,"$29,409",,,,,,,,,,,,"$959,860"
13,Matt Cain,,,,"$328,000","$650,000","$950,000","$2,900,000","$4,583,333","$7,333,333","$16,266,666","$20,833,333","$20,833,333","$20,833,333","$20,833,333","$20,833,334","$7,500,000",,,,,"$144,677,998"
14,Jeff Francoeur,,,,"$384,500","$427,500","$460,000","$3,375,000","$5,000,000","$2,500,000","$6,750,000","$6,364,426","$103,825","$925,000","$999,999",,,,,,,"$27,290,250"
15,Prince Fielder,,,"$190,279","$329,500","$415,000","$670,000","$7,500,000","$10,500,000","$15,500,000","$23,150,000","$23,050,000","$24,000,000","$24,050,000","$24,000,000","$15,000,000","$15,000,000","$15,000,000","$15,000,000",,,"$213,354,779"
16,Adam Miller,,,,,,,,,,,,,,,,,,,,,$0
17,Jason Kubel,,,"$316,000","$327,000","$387,500","$1,300,000","$2,750,000","$4,100,000","$5,250,000","$7,500,000","$7,500,000","$2,163,387",,,,,,,,,"$31,593,887"
18,Jeremy Hermida,,,,"$327,000","$380,000","$395,000","$2,250,000","$3,345,000","$375,540",,,,,,,,,,,,"$7,072,540"
19,Chad Billingsley,,,,"$327,000","$384,500","$415,000","$475,000","$3,850,000","$6,275,000","$9,000,000","$11,000,000","$12,000,000","$4,500,000",,,,,,,,"$48,226,500"
20,Jeff Niemann,,,,,,,,,,"$2,750,000","$3,000,000",,,,,,,,,,"$5,750,000"
21,Brian Dopirak,,,,,,,,,,,,,,,,,,,,,$0
22,Carlos Quentin,,,,"$327,000","$381,000","$400,000","$550,000","$3,200,000","$5,050,000","$7,025,000","$9,500,000","$9,500,000","$8,000,000",,,,,,,,"$43,933,000"
23,Jeff Francis,,,"$317,000","$336,000","$1,000,000","$2,750,000","$3,750,000","$5,750,000","$2,000,000","$306,885","$1,500,000",,"$153,734",,,,,,,,"$17,863,619"
24,Nick Swisher,,,"$316,500","$335,000","$1,200,000","3,500,000","$5,300,000","$6,750,000","$9,000,000","$10,250,000","$11,000,000","$15,000,000","$15,000,000","15,000,000",,,,,,,"$92,651,500"
25,Jose Capellan,,,,,,,,,,,,,,,,,,,,,$0
26,Chris Nelson,,,,,,,,"$400,000","$414,000","$480,000","$166,349",,,,,,,,,,"$1,460,349"
27,Ryan Howard,,,"$186,780","$355,000","$900,000","$10,000,000","$15,050,000","$19,050,000","$20,000,000","$20,000,000","$20,000,000","$25,000,000","$25,000,000","$25,000,000","$10,000,000",,,,,,"$190,541,780"
28,J.J. Hardy,,,"$316,000","$355,000","$400,000","$2,650,000","$4,650,000","$5,100,000","$5,850,000","$8,250,000","$7,000,000","$7,500,000","$11,500,000","$12,500,000","$14,000,000","$2,000,000",,,,,"$82,071,000"
29,Mike Hinckley,,,,,,,,,,,,,,,,,,,,,$0
30,Edwin Jackson,,,"$316,000","$327,000","$392,300","$412,700","$2,300,000","$5,000,000","$8,349,999","$11,000,000","$19,000,000","$11,000,000","$12,141,434","$10,869,628","$2,865,264","$790,370","$343,160",,,,"$85,107,855"
31,Felix Pie,,,,,,"$401,500","$410,000",,"$985,000",,,,,,,,,,,,"$1,796,500"
32,Daric Barton,"$975,000",,,,,,,,,,,"$1,250,000",,,,,,,,,"$2,225,000"
33,Jeremy Reed,,,"$316,000","$375,000",,,"$925,000",,"$550,000",,,,,,,,,,,,"$2,166,000"
34,Zach Duke,,,,"$335,000","$410,000","$400,000","$2,200,000","$4,300,000","$3,500,000","$917,213","$783,005","$850,000","$4,500,000","$5,000,000","$5,500,000","$3,650,000","$2,000,000",,,,"$34,345,218"
35,Gavin Floyd,,,"$316,000","$330,000","$380,000","$400,000","$750,000","$2,750,000","$5,000,000","$7,000,000","$9,500,000","$4,000,000","$4,000,000","$1,000,000",,,,,,,"$35,426,000"
36,Eric Duncan,,,,,,,,,,,,,,,,,,,,,$0
37,Brian Anderson,,,,,,,,,,,,,,,,,,,,,$0
38,Scott Olsen,,,"$316,000","$327,000","$380,000","$405,000","$2,800,000","$1,000,000","$450,000","$100,000",,,,,,,,,,,"$5,778,000"
39,Erick Aybar,,,,"$327,500","$382,500","$415,000","$485,000","$2,150,000","$3,075,000","$5,075,000","$9,500,000","$8,550,000","$8,500,000","$11,250,000","$1,750,000",,,,,,"$51,460,000"
40,Conor Jackson,"$1,500,000",,"$316,000","$328,000","$392,000","$419,500","$3,050,000","$3,100,000","$3,200,000",,,,,,,,,,,,"$12,305,500"
41,Michael Aubrey,,,,,,,,,,,,,,,,,,,,,$0
42,Ryan Sweeney,,,,,"$380,000","$395,000","$410,000","$420,000","$1,400,000","$1,750,000","$398,961","$1,500,000","$1,500,000","$500,000",,,,,,,"$8,653,961"
43,Dan Meyer,,,,,,,,,,,,,,,,,,,,,$0
44,Brian McCann,,,"$316,000","$333,500","$1,500,000","$800,000","$3,500,000","$5,500,000","$6,500,000","$11,500,000","$12,000,000","$17,000,000","$17,000,000","$17,000,000","$17,000,000","$17,000,000","$2,000,000",,,,"$128,949,500"
45,Josh Barfield,,,,,,,,,,,,,,,,,,,,,$0
46,Yusmeiro Petit,,,,"$327,000","$380,000","$394,000","$411,500","$411,500","$414,000","$480,000","$120,491","$845,000","$2,100,000","$2,500,000","$2,750,000","$3,500,000","$5,500,000","$2,037,037","$3,000,000",,"$25,170,528"
47,Anthony Reyes,,,,,,,,,,,,,,,,,,,,,$0
48,Homer Bailey,,,,,"$380,000","$390,000","$400,500","$418,000","$441,000","$2,500,000","$5,350,000","$9,000,000","$10,000,000","$18,000,000","$19,000,000","$21,000,000","$23,000,000","$7,592,593",,,"$117,472,093"
49,Brandon McCarthy,,,"$316,000","$332,000","$396,068","$404,760","$650,000","$1,300,000","$1,000,000","$4,275,000","$6,500,000","$9,000,000","$17,000,000","$11,000,000","$10,000,000","$11,500,000",,,,,"$73,673,828"
50,Philip Humber,,,,,,,,,,,,,,,,,,,,,$0
51,Shin-Soo Choo,,,,,"$383,100","$390,400","$420,300","$461,100","$3,975,000","$4,900,000","$10,875,000","$14,000,000","$14,000,000","$20,000,000","$20,000,000","$20,100,000","$21,000,000","$7,777,778",,,"$138,282,678"
52,Thomas Diamond,,,,,,,,,,,,,,,,,,,,,$0
53,Kyle Davies,,,"$316,000","$333,500","$380,000","$390,000","$1,300,000","$1,800,000","$3,200,000",,,,,,,,,,,,"$7,719,500"
54,Franklin Gutierrez,,,"$316,000","$327,000","$381,900","$404,400","$455,000","$3,250,000","$4,000,000","$5,500,000","$7,000,000","$1,500,000","$285,642","$2,500,000","$2,600,000",,,,,,"$28,519,942"
55,Mark Rogers,,,,,,,,,,,,,,,,,,,,,$0
56,Edwin Encarnacion,,,,"$332,500","$407,500","$450,000","$2,425,000","$5,175,000","$2,000,000","$3,500,000","$8,000,000","$9,000,000","$10,000,000","$10,000,000","$18,150,000","$17,000,000","$33,666,668","$5,074,074",,,"$125,180,742"
57,Curtis Granderson,,,"$316,000","$335,000","$410,000","$1,000,000","$3,525,000","$5,500,000","$8,325,000","$10,025,000","$15,000,000","$13,000,000","$16,000,000","$16,000,000","$15,000,000","$833,342","$1,750,000",,,,"$107,019,342"
58,Merkin Valdez,,,,,,,,,,,,,,,,,,,,,$0
59,John Danks,,,,,"$380,000","$400,000","520,000","$3,450,000","$6,000,000","$8,000,000","$14,250,000","$14,250,000","$14,250,000","$14,250,000",,,,,,,"$75,750,000"
