Rank,Name,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,Career
1,Delmon Young,,,,"$500,000.00","$600,000.00",,"$1,152,000.00","$2,600,000.00","$5,375,000.00","$6,750,000.00","$830,327.00","$1,000,000.00","$2,250,000.00",,,,,,,,,,,,,,,,,,,,,,,,,"$21,057,327"
2,Justin Upton,,,,,"$380,000.00","$393,000.00","$412,000.00","$1,750,000.00","$4,250,000.00","$6,750,000.00","$9,750,000.00","$14,250,000.00",,"$22,125,000.00","$22,125,000.00","$16,000,000.00","$18,000,000.00","$7,777,778.00","$23,000,000.00","$27,607,687.00",,,,,,,,,,,,,,,,,,"$174,570,465"
3,Brandon Wood,,,,,,,,,,"$580,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,"$580,000"
4,Jeremy Hermida,,,,"$327,000.00","$380,000.00","$395,000.00","$2,250,000.00","$3,345,000.00","$375,540.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$7,072,540"
5,Stephen Drew,,,"$4,300,000.00","$300,000.00","$1,500,000.00","$1,500,000.00","$3,500,000.00","$3,400,000.00","$4,650,000.00","$7,750,000.00","$11,350,000.00","$10,093,443.00","$5,000,000.00","$3,000,000.00","$3,500,000.00",,,,,,,,,,,,,,,,,,,,,,,"$59,843,443"
6,Francisco Liriano,,,"$316,000.00","$327,000.00","$327,000.00","$410,000.00","$430,000.00","$1,600,000.00","$4,300,000.00","$5,500,000.00","$1,000,000.00","$6,000,000.00","$13,000,000.00","$13,000,000.00","$13,000,000.00","$4,000,000.00","$1,800,000.00",,,,,,,,,,,,,,,,,,,,,"$65,010,000"
7,Chad Billingsley,,,,"$327,000.00","$384,500.00","$415,000.00","$475,000.00","$3,850,000.00","$6,275,000.00","$9,000,000.00","$11,000,000.00","$12,000,000.00","$4,500,000.00",,,,,,,,,,,,,,,,,,,,,,,,,"$48,226,500"
8,Justin Verlander,,,"$3,466,000.00","$350,000.00","$400,000.00","$500,000.00","$3,975,000.00","$7,250,000.00","$13,250,000.00","$20,000,000.00","$20,000,000.00","$20,000,000.00","$28,000,000.00","$28,000,000.00","$28,000,000.00","$28,100,000.00","$36,075,000.00","$12,222,222.00","$33,000,000.00","$25,000,000.00","$43,333,333.00","$43,333,333.00","$15,000,000.00","$2,000,000.00",,,,"$1,100,000.00","$1,100,000.00","$1,100,000.00","$1,100,000","$1,100,000","$1,100,000","$1,100,000","$1,100,000","$1,100,000","$1,100,000","$422,254,888"
9,Lastings Milledge,,,,,"$383,000.00","$402,500.00","$452,000.00","$452,000.00","$500,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$2,189,500"
10,Matt Cain,,,,"$328,000.00","$650,000.00","$950,000.00","$2,900,000.00","$4,583,333.00","$7,333,333.00","$16,266,666.00","$20,833,333.00","$20,833,333.00","$20,833,333.00","$20,833,333.00","$20,833,334.00","$7,500,000.00",,,,,,,,,,,,,,,,,,,,,,"$144,677,998"
