Rank,Name,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,Career
1,Jay Bruce,,"$390,000.00","$417,500.00","$440,000.00","$3,000,000.00","$5,000,000.00","$7,500,000.00","$10,000,000.00","$12,000,000.00","$11,999,999.00","$13,000,000.00","$10,000,000.00","$15,500,000.00","$6,314,814.00","$1,350,000.00",,,,,,,"$96,912,313.00"
2,Evan Longoria,,"$550,000.00","$625,000.00","$1,000,000.00","$2,500,000.00","$4,500,000.00","$6,000,000.00","$7,500,000.00","$11,000,000.00","$12,100,000.00","$13,025,000.00","$14,000,000.00","$14,500,000.00","$7,552,890.00","$18,500,000.00","$24,500,000.00","$4,000,000.00",,,,,"$141,852,890.00"
3,Joba Chamberlain,"$380,000.00","$390,000.00","$432,575.00","$487,975.00","$1,400,000.00","$1,675,000.00","$2,150,000.00","$3,000,000.00","$1,072,103.00","$1,000,000.00",,,,,,,,,,,,"$11,987,653.00"
4,Clay Buchholz,"$91,366.00","$396,000.00","$413,500.00","$443,000.00","$555,000.00","$4,500,000.00","$5,550,000.00","$7,700,000.00","$12,000,000.00","$13,000,000.00","$13,500,000.00","$1,080,645.00","$3,000,000.00",,,,,,,,,"$62,229,511.00"
5,Colby Rasmus,,,"$400,000.00","$418,000.00","$443,000.00","$2,700,000.00","$4,675,000.00","$7,000,000.00","$8,000,000.00","$15,800,000.00","$2,786,918.00","$3,000,000.00",,,,,,,,,,"$45,222,918.00"
6,Cameron Maybin,"$91,935.00","$390,000.00","$400,000.00","$405,000.00","$429,100.00","$1,000,000.00","$3,000,000.00","$5,000,000.00","$7,000,000.00","$8,000,000.00","$9,000,000.00","$3,250,000.00","$471,472.00","$555,556.00","$570,500.00",,,,,,,"$39,563,563.00"
7,Clayton Kershaw,,"$223,770.00","$404,000.00","$440,000.00","$500,000.00","$8,000,000.00","$11,000,000.00","$22,000,000.00","$30,000,000.00","$32,000,000.00","$33,000,000.00","$33,000,000.00","$30,999,998.00","$16,308,641.00","$31,000,001.00","$20,000,000.00","$20,000,000.00","$7,500,000.00","$7,500,000.00",,,"$303,876,410.00"
8,Franklin Morales,"$91,366.00","$391,000.00","$402,000.00","$406,000.00","$424,000.00","$850,000.00","$1,487,500.00","$1,712,500.00","$1,850,000.00","$2,000,000.00",,,,,,,,,,,,"$9,614,366.00"
9,Homer Bailey,"$380,000.00","$390,000.00","$400,500.00","$418,000.00","$441,000.00","$2,500,000.00","$5,350,000.00","$9,000,000.00","$10,000,000.00","$18,000,000.00","$19,000,000.00","$21,000,000.00","$23,000,000.00","$7,592,593.00",,,,,,,,"$117,472,093.00"
10,David Price,"$1,433,333.00","$1,583,333.00","$1,683,333.00","$2,013,333.00","$2,183,333.00","$5,283,333.00","$11,112,500.00","$22,000,000.00","$19,750,000.00","$30,000,000.00","$30,000,000.00","$30,000,000.00","$31,000,000.00",,"$32,000,000.00","$32,000,000.00",,,,,,"$252,042,498.00"
11,Travis Snider,,"$390,000.00","$401,400.00","$405,800.00","$435,800.00","$480,000.00","$505,000.00","$1,200,000.00","$507,500.00",,,,,,,,,,,,,"$4,325,500.00"
12,Matt Wieters,,,"$281,967.00","$400,000.00","$452,250.00","$500,000.00","$5,500,000.00","$7,700,000.00","$8,300,000.00","$15,800,000.00","$5,500,000.00","$10,500,000.00","$1,500,000.00","$740,741.00","$5,000,000.00",,,,,,,"$62,174,958.00"
13,Jacoby Ellsbury,"$380,000.00","$406,000.00","$449,500.00","$496,500.00","$2,500,000.00","$8,050,000.00","$9,000,000.00","$21,142,857.00","$21,142,857.00","$21,142,857.00","$21,142,857.00","$21,142,857.00","$21,857,143.00","$21,142,857.00","$5,000,000.00",,,,,,,"$174,996,285.00"
