Rank,Name,,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,Total
1,Matt Wieters,,,,"$281,967.00","$400,000.00","$452,250.00","$500,000.00","$5,500,000.00","$7,700,000.00","$8,300,000.00","$15,800,000.00","$5,500,000.00","$10,500,000.00","$1,500,000.00","$740,000.00","$5,000,000.00",,,,,,,,"$62,174,217"
2,David Price,,"$1,433,333.00","$1,583,333.00","$1,683,333.00","$2,013,333.00","$2,183,333.00","$5,283,333.00","$11,112,500.00","$22,000,000.00","$19,750,000.00","$30,000,000.00","$30,000,000.00","$30,000,000.00","$31,000,000.00",,"$32,000,000.00","$32,000,000.00",,,,,,,"$250,609,165"
3,Colby Rasmus,,,,"$400,000.00","$418,000.00","$443,000.00","$2,700,000.00","$4,675,000.00","$7,000,000.00","$8,000,000.00","$15,800,000.00","$2,786,918.00","$3,000,000.00",,,,,,,,,,,"$45,222,918"
4,Tommy Hanson,,,,,,,,"$3,725,000.00","$122,951.00",,,,,,,,,,,,,,,"$3,847,951"
5,Jason Heyward,,,,,"$400,000.00","$496,500.00","$565,000.00","$3,650,000.00","$5,500,000.00","$7,800,000.00","$15,000,000.00","$21,500,000.00","$21,500,000.00","$20,000,000.00","$7,777,778.00","$21,000,000.00","$22,000,000.00","$22,000,000.00","$14,123,318.00","$6,000,000.00","$5,000,000.00","$5,000,000.00",,"$199,312,596"
6,Travis Snider,,,"$390,000.00","$401,400.00","$405,800.00","$435,800.00","$480,000.00","$505,000.00","$1,200,000.00","$97,062.00",,,,,,,,,,,,,,"$3,915,062"
7,Brett Anderson,,,,"$400,000.00","$1,500,000.00","$1,000,000.00","$3,000,000.00","$5,500,000.00","$8,000,000.00","$13,900,000.00","$15,800,000.00","$3,599,382.00","$3,268,817.00","$1,500,000.00","$1,999,852.00","$2,500,000.00",,,,,,,,"$61,968,051"
8,Cameron Maybin,,"$91,935.00","$390,000.00","$400,000.00","$405,000.00","$429,100.00","$1,000,000.00","$3,000,000.00","$5,000,000.00","$7,000,000.00","$8,000,000.00","$9,000,000.00","$3,250,000.00","$471,472.00","$555,556.00","$36,804.00",,,,,,,,"$38,937,932"
9,Madison Bumgarner,,,,"$400,000.00","$400,000.00","$450,000.00","$560,000.00","$1,775,000.00","$3,800,000.00","$6,800,000.00","$9,775,000.00","$12,000,000.00","$12,000,000.00","$12,000,000.00","$2,222,222.00","$14,000,000.00","$18,000,000.00","$18,000,000.00","$14,000,000.00","$5,000,000.00","$5,000,000.00","$5,000,000.00",,"$141,182,222"
10,Neftali Feliz,,,,,"$402,000.00","$457,160.00","$502,000.00","$2,900,000.00","$3,000,000.00","$2,402,431.00","$4,080,000.00","$5,554,610.00",,,,"$52,139.00",,,,,,,,"$19,350,340"
