Rank,Name,,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,Total
1,Jason Heyward,,,,"$400,000.00","$496,500.00","$565,000.00","$3,650,000.00","$5,500,000.00","$7,800,000.00","$15,000,000.00","$21,500,000.00","$21,500,000.00","$20,000,000.00","$7,777,778.00","$21,000,000.00","$22,000,000.00","$22,000,000.00","$14,123,000.00","$6,000,000.00","$5,000,000.00",,,,,,,,,,,,,,,"$194,312,278"
2,Stephen Strasburg,,,"$7,900,000.00","$2,000,000.00","$2,500,000.00","$3,000,000.00","$3,900,000.00","$3,975,000.00","$7,400,000.00","$20,400,000.00","$15,000,000.00","$15,000,000.00","$6,000,000.00","$18,730,000.00","$33,571,000.00","$33,571,000.00","$23,571,000.00","$23,571,000.00","$23,571,000.00","$23,571,000.00",,,,,,,,,,,,,,,"$267,231,000"
3,Giancarlo Stanton,,,,"$257,948.00","$416,000.00","$480,000.00","$537,000.00","$6,500,000.00","$6,550,000.00","$9,000,000.00","$14,500,000.00","$25,000,000.00","$26,000,000.00","$9,629,630.00","$19,000,000.00","$19,000,000.00","$22,000,000.00","$32,000,000.00","$32,000,000.00","$39,000,000.00","$35,000,000.00","$20,000,000.00",,,,,,,,,,,,,"$316,870,578"
4,Jesus Montero,,,,,"$414,000.00","$486,900.00","$503,300.00",,"$194,125.00",,,,,,,,,,,,,,,,,,,,,,,,,,"$1,598,325"
5,Brian Matusz,,,,"$500,000.00","$550,000.00","$650,000.00","$1,600,000.00","$2,400,000.00","$3,200,000.00","$7,802,773.00",,,,,,"$18,555,556.00",,,,,,,,,,,,,,,,,,,"$35,258,329"
6,Desmond Jennings,,,,"$400,000.00","$414,000.00","$486,900.00","$501,800.00","$517,000.00","$3,100,000.00","$3,300,000.00",,,,,,,,,,,,,,,,,,,,,,,,,"$8,719,700"
7,Buster Posey,,,"$70,967.00","$400,000.00","$575,000.00","$790,000.00","$10,025,000.00","$10,550,000.00","$16,575,000.00","$20,075,000.00","$21,400,000.00","$21,425,000.00","$21,400,000.00",,"$24,425,000.00",,,,,,,,,,,,,,,,,,,,"$147,710,967"
8,Pedro Alvarez,,,"$6,400,000.00","$500,000.00","$550,000.00","$700,000.00","$700,000.00","$4,250,000.00","$5,750,000.00","$5,950,000.00","$2,000,000.00","$1,000,000.00",,,,,,,,,,,,,,,,,,,,,,,"$27,800,000"
9,Neftali Feliz,,,"$100,000.00","$402,000.00","$457,160.00","$502,000.00","$2,900,000.00","$3,000,000.00","$2,402,431.00","$4,080,000.00","$5,554,610.00",,,,"$52,139.00",,,,,,,,,,,,,,,,,,,,"$19,450,340"
10,Carlos Santana,,,,"$251,390.00","$416,600.00","$1,501,900.00","$550,000.00","$3,500,000.00","$6,000,000.00","$8,250,000.00","$12,000,000.00","$25,000,000.00","$17,000,000.00","$6,981,481.00","$7,250,000.00","$11,175,000.00","$6,725,000.00","$5,500,000.00","$12,000,000.00","$2,000,000.00",,,,,,,,,,,,,,,"$126,101,371"
