Rank,Name,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,Total
1,Mike Trout,,,,,,,,,,,,,,"$149,292.00","$482,500.00","$510,000.00","$1,000,000.00","$5,250,000.00","$15,250,000.00","$19,250,000.00","$33,250,000.00","$36,000,000.00","$13,433,333.00","$35,500,000.00","$35,550,000.00","$35,450,000.00","$35,450,000.00","$35,450,000.00","$35,450,000.00","$35,450,000.00",,,,,,,,,,,,,,,"$372,875,125.00"
2,Bryce Harper,,,,,,,,,,,,,,"$3,000,000.00","$1,750,000.00","$2,000,000.00","$2,650,000.00","$2,500,000.00","$5,000,000.00","$13,625,000.00","$21,725,000.00","$30,000,000.00","$9,629,629.00","$26,550,000.00","$26,100,000.00","$26,000,000.00","$26,100,000.00","$26,000,000.00","$26,000,000.00","$26,000,000.00",,,,,,,,,,,,,,,"$274,629,629.00"
3,Jeremy Hellickson,,,,,,,,,,,,,,"$418,400.00","$489,500.00","$503,000.00","$3,625,000.00","$4,275,000.00","$7,000,000.00","$17,200,000.00","$2,000,000.00","$1,900,000.00",,,,,,,,,,,,,,,,,,,,,,,"$37,410,900.00"
4,Domonic Brown,,,,,,,,,,,,,,"$414,000.00","$480,000.00","$500,000.00","$550,000.00","$2,600,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,"$4,544,000.00"
5,Jesus Montero,,,,,,,,,,,,,,"$414,000.00","$486,900.00","$503,300.00","$194,125.00","$507,500.00","$523,800.00","$550,000.00",,,,,,,,,,,,,,,,,,,,,,,,,"$3,179,625.00"
6,Julio Teheran,,,,,,,,,,,,,,"$85,967.00","$480,000.00","$490,000.00","$1,800,000.00","$1,000,000.00","$3,300,000.00","$6,300,000.00","$8,000,000.00","$12,000,000.00","$3,333,333.00","$3,000,000.00",,"$1,500,000.00","$120,968.00",,,,,,,,,,,,,,,,,,"$41,410,268.00"
7,Mike Moustakas,,,,,,,,,,,,,,"$251,114.00","$487,250.00","$524,500.00","$549,000.00","$2,700,000.00","$5,600,000.00","$8,700,000.00","$7,700,000.00","$11,050,000.00","$4,444,444.00","$14,000,000.00","$16,000,000.00","$22,716,135.00",,,,,,,,,,,,,,,,,,,"$94,722,443.00"
8,Eric Hosmer,,,,,,,,,,,,,,"$414,000.00","$502,500.00","$528,250.00","$3,600,000.00","$5,700,000.00","$8,350,000.00","$12,250,000.00","$25,000,000.00","$20,000,000.00","$7,407,407.00","$20,000,000.00","$20,000,000.00","$13,197,421.00","$13,000,000.00","$13,000,000.00",,,,,,,,,,,,,,,,,"$162,949,578.00"
9,Aroldis Chapman,,,,,,,,,,,,,"$17,250,000.00","$1,000,000.00","$2,025,000.00","$2,025,000.00","$7,860,772.00","$8,050,000.00","$16,461,455.00","$21,000,000.00","$20,000,000.00","$15,000,000.00","$5,555,555.00","$14,838,709.00","$18,000,000.00","$6,250,000.00","$10,500,000.00","$10,750,000.00","$13,000,000.00","$300,000.00",,,,,,,,,,,,,,,"$189,866,491.00"
10,Wil Myers,,,,,,,,,,,,,,,,"$278,469.00","$504,200.00","$519,800.00","$523,900.00","$17,000,000.00","$2,000,000.00","$3,000,000.00","$7,407,407.00","$20,000,000.00","$21,000,000.00","$7,500,000.00","$1,500,000.00",,,,,,,,,,,,,,,,,,"$81,233,776.00"
11,Matt Moore,,,,,,,,,,,,,,"$414,000.00","$1,500,000.00","$1,000,000.00","$1,000,000.00","$3,000,000.00","$5,000,000.00","$7,000,000.00","$9,000,000.00","$3,250,000.00",,"$3,000,000.00","$2,311,852.00","$7,550,000.00","$9,000,000.00",,,,,,,,,,,,,,,,,,"$53,025,852.00"
12,Zach Britton,,,,,,,,,,,,,,"$359,658.00","$486,000.00","$149,945.00","$521,500.00","$3,450,000.00","$6,750,000.00","$11,400,000.00","$12,000,000.00","$13,000,000.00","$4,814,815.00","$13,000,000.00","$14,000,000.00",,,,,,,,,,,,,,,,,,,,"$79,931,918.00"
13,Manny Machado,,,,,,,,,,,,,,,"$112,786.00","$520,000.00","$519,000.00","$548,000.00","$5,000,000.00","$11,500,000.00","$15,999,999.00","$30,000,000.00","$11,111,111.00","$30,000,000.00","$30,000,000.00","$23,000,000.00","$13,000,000.00","$13,000,000.00","$21,000,000.00","$40,000,000.00","$40,000,000.00","$40,000,000.00","$40,000,000.00","$40,000,000.00","$40,000,000.00","$40,000,000.00",,,,,,,,,"$485,310,896.00"
14,Shelby Miller,,,,,,,,,,,,,,,"$480,000.00","$490,000.00","$521,000.00","$535,000.00","$4,350,000.00","$4,700,000.00","$4,900,000.00","$2,000,000.00","$370,370.00","$361,568.00","$49,998.00","$1,500,000.00","$3,350,000.00","$999,980.00",,,,,,,,,,,,,,,,,"$24,607,916.00"
15,Michael Pineda,,,,,,,,,,,,,,"$414,000.00","$528,475.00","$421,624.00","$509,050.00","$2,100,000.00","$4,300,000.00","$7,400,000.00","$2,000,000.00","$5,419,340.00","$651,758.00","$10,000,000.00","$5,500,000.00",,,,,,,,,,,,,,,,,,,,"$39,244,247.00"
16,Brandon Belt,,,,,,,,,,,,,,"$289,573.00","$481,000.00","$531,500.00","$2,900,000.00","$3,600,000.00","$6,200,000.00","$8,800,000.00","$16,000,000.00","$16,000,000.00","$5,925,925.00","$16,000,000.00","$18,400,000.00","$9,300,000.00",,,,,,,,,,,,,,,,,,,"$104,427,998.00"
17,Dustin Ackley,,,,,,,,,,,,,"$1,600,000.00","$1,500,000.00","$2,100,000.00","$2,700,000.00","$1,700,000.00","$2,600,000.00","$3,200,000.00","$2,250,000.00",,,,,,,,,,,,,,,,,,,,,,,,,"$17,650,000.00"
18,Manny Banuelos,,,,,,,,,,,,,,,,,,"$263,456.00","$559,000.00","$476,904.00",,,,,,,,,,,,,,,,,,,,,,,,,"$1,299,360.00"
19,Jameson Taillon,,,,,,,,,,,,,,,,,,,"$302,257.00","$555,500.00","$571,000.00","$587,500.00","$833,333.00","$2,250,000.00","$5,800,000.00","$14,000,000.00","$18,000,000.00","$18,000,000.00","$18,000,000.00",,,,,,,,,,,,,,,,"$78,899,590.00"
20,Freddie Freeman,,,,,,,,,,,,,"$72,131.00","$414,500.00","$535,000.00","$560,000.00","$8,050,000.00","$8,500,000.00","$12,000,000.00","$20,500,000.00","$21,250,000.00","$21,050,000.00","$8,348,148.00","$22,050,000.00","$20,000,000.00","$20,000,000.00","$20,000,000.00","$15,000,000.00","$15,000,000.00","$15,000,000.00","$4,000,000.00","$4,000,000.00","$4,000,000.00","$4,000,000.00","$4,000,000.00","$4,000,000.00","$4,000,000.00","$4,000,000.00","$5,000,000.00","$5,000,000.00","$5,000,000.00","$5,000,000.00","$5,000,000.00",,"$285,329,779.00"
21,Mike Montgomery,,,,,,,,,,,,,,,,,,"$246,816.00","$515,000.00","$570,500.00","$611,250.00","$2,440,000.00","$3,100,000.00",,"$1,100,000.00",,,,,,,,,,,,,,,,,,,,"$8,583,566.00"
22,Jacob Turner,,,,,,,,,,,,,"$1,175,000.00","$1,175,000.00","$1,175,000.00","$1,175,000.00","$1,000,000.00","$1,000,000.00","$1,500,000.00","$535,000.00","$11,720.00",,,,,,,,,,,,,,,,,,,,,,,,"$8,746,720.00"
23,John Lamb,,,,,,,,,,,"$165,000.00",,,,,,,"$146,980.00","$507,500.00",,"$313,510.00",,,,,,,,,,,,,,,,,,,,,,,,"$1,132,990.00"
24,Desmond Jennings,,,,,,,,,,,,,"$400,000.00","$414,000.00","$486,900.00","$501,800.00","$517,000.00","$3,100,000.00","$3,300,000.00","$1,500,000.00",,,,,,,,,,,,,,,,,,,,,,,,,"$10,219,700.00"
25,Kyle Drabek,,,,,,,,,,,,,,"$416,000.00","$485,900.00","$499,500.00","$500,000.00","$518,200.00",,,,,,,,,,,,,,,,,,,,,,,,,,,"$2,419,600.00"
26,Chris Sale,,,,,,,,,,,,,,"$425,000.00","$500,000.00","$865,000.00","$3,515,000.00","$6,015,000.00","$9,165,000.00","$12,000,000.00","$12,515,000.00","$15,000,000.00","$7,407,407.00","$20,000,000.00","$20,000,000.00","$27,500,000.00","$18,100,000.00","$22,000,000.00","$18,000,000.00","$27,000,000.00",,,,,,,,"$10,000,000.00","$10,000,000.00","$10,000,000.00","$10,000,000.00",,,,"$260,007,407.00"
27,Jurickson Profar,,,,,,,,,,,,,,,"$86,557.00","$359,530.00","$505,750.00","$509,500.00","$605,000.00","$1,005,000.00","$1,050,000.00","$3,600,000.00","$2,111,111.00","$4,500,000.00","$9,000,000.00","$7,839,033.00","$2,500,000.00","$6,193,548.00",,"$15,000,000.00",,,,,,,,,,,,,,,"$54,865,029.00"
28,Tyler Matzek,,,,,,,,,,,,,,,,,"$300,546.00","$89,092.00",,,,,"$208,703.00","$600,500.00","$1,400,000.00","$1,200,000.00","$1,900,000.00","$102,151.00",,,,,,,,,,,,,,,,,"$5,800,992.00"
29,Mike Minor,,,,,,,,,,,,,"$124,590.00","$414,000.00","$482,500.00","$505,000.00","$3,850,000.00","$5,600,000.00","$2,750,000.00","$4,000,000.00","$10,250,000.00","$9,500,000.00","$3,518,519.00","$7,000,000.00","$12,000,000.00",,,,,,,,,,,,,,,,,,,,"$59,994,609.00"
30,Casey Kelly,,,,,,,,,,,,,,,,"$491,400.00","$501,400.00","$55,464.00","$507,500.00",,"$123,060.00",,,,,,"$19,890.00","$28,602.00",,,,,,,,,,,,,,,,,"$1,727,316.00"
31,Martin Perez,,,,,,,,,,,,,,,"$480,000.00","$384,459.00","$1,750,000.00","$1,000,000.00","$2,900,000.00","$4,400,000.00","$6,000,000.00","$4,750,000.00","$2,922,222.00","$5,000,000.00","$4,000,000.00","$19,650,000.00","$8,000,000.00","$5,000,000.00","$3,314,312.00",,,,,,,,,,,,,,,,"$69,550,993.00"
32,Jarrod Parker,,,,,,,,,,,,,,"$414,000.00","$480,000.00","$495,000.00","$500,000.00","$850,000.00","$850,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,"$3,589,000.00"
33,Zack Wheeler,,,,,,,,,,,,,,,,"$262,404.00","$512,375.00","$546,250.00","$546,250.00","$800,000.00","$1,900,000.00","$5,975,000.00","$7,962,963.00","$22,500,000.00","$26,000,000.00","$24,500,000.00","$23,500,000.00","$42,000,000.00","$42,000,000.00","$42,000,000.00",,,,,,,,,,,,,,,"$241,005,242.00"
34,Brett Lawrie,,,,,,,,,,,,,,"$414,000.00","$482,500.00","$500,000.00","$516,100.00","$1,925,000.00","$4,125,000.00","$573,770.00",,"$1,000,000.00",,,,,,,,,,,,,,,,,,,,,,,"$9,536,370.00"
35,Dee Strange-Gordon,,,,,,,,,,,,,,"$414,000.00","$485,000.00","$175,213.00","$515,000.00","$2,500,000.00","$3,188,524.00","$7,500,000.00","$10,500,000.00","$13,000,000.00","$6,000,000.00",,"$320,908.00",,,,,,,,,,,,,,,,,,,,"$44,598,645.00"
36,Chris Archer,,,,,,,,,,,,,,,"$91,805.00","$326,666.00","$1,500,000.00","$1,000,000.00","$2,750,000.00","$4,750,000.00","$6,250,000.00","$7,500,000.00","$3,583,333.00","$6,500,000.00","$3,500,000.00",,,,,,,,,,,,,,,,,,,,"$37,751,804.00"
37,Lonnie Chisenhall,,,,,,,,,,,,,,"$414,000.00","$480,000.00","$395,936.00","$510,800.00","$2,250,000.00","$2,725,000.00","$4,300,000.00","$5,587,500.00","$2,750,000.00",,,,,,,,,,,,,,,,,,,,,,,"$19,413,236.00"
38,Jonathan Singleton,,,,,,,,,,,,,,,,,"$1,500,000.00","$2,000,000.00","$2,000,000.00","$2,000,000.00","$936,170.00","$500,000.00","$250,000.00","$250,000.00",,"$263,228.00","$850,000.00","$303,492.00",,,,,,,,,,,,,,,,,"$10,852,890.00"
39,Kyle Gibson,,,,,,,,,,,,,,,,"$149,945.00","$502,500.00","$537,500.00","$587,500.00","$2,900,000.00","$4,200,000.00","$8,125,000.00","$4,629,629.00","$11,500,000.00","$8,000,000.00","$10,000,000.00","$13,000,000.00","$5,250,000.00",,,,,,,,,,,,,,,,,"$69,382,074.00"
40,Gary Sanchez,,,,,,,,,,,,,,,,,,"$58,237.00","$171,926.00","$557,900.00","$620,400.00","$669,800.00","$1,851,852.00","$6,350,000.00","$9,000,000.00","$1,500,000.00","$7,000,000.00","$8,500,000.00","$1,750,000.00",,,,,,,,,,,,,,,,"$38,030,115.00"
41,Randall Delgado,,,,,,,,,,,,,,,"$480,000.00","$292,131.00","$510,000.00","$526,000.00","$1,275,000.00","$1,775,000.00","$2,293,950.00",,,,,,,,,,,,,,,,,,,,,,,,"$7,152,081.00"
42,Devin Mesoraco,,,,,,,,,,,,,,"$414,000.00","$480,000.00","$497,500.00","$525,000.00","$2,900,000.00","$4,900,000.00","$7,200,000.00","$13,125,000.00",,,,,,,,,,,,,,,,,,,,,,,,"$30,041,500.00"
43,Derek Norris,,,,,,,,,,,,,,,"$480,000.00","$492,500.00","$505,000.00","$545,000.00","$2,925,000.00","$1,900,000.00",,,,,,,,,,,,,,,,,,,,,,,,,"$6,847,500.00"
44,Aaron Hicks,,,,,,,,,,,,,,,,"$332,072.00","$288,415.00","$408,060.00","$574,000.00","$1,350,000.00","$2,825,000.00","$8,000,000.00","$3,888,888.00","$10,500,000.00","$10,500,000.00","$10,500,000.00","$9,500,000.00","$10,785,714.00","$1,000,000.00",,,,,,,,,,,,,,,,"$70,452,149.00"
45,Danny Duffy,,,,,,,,,,,,,,"$303,147.00","$487,750.00","$505,125.00","$485,759.00","$2,425,000.00","$4,225,000.00","$5,000,000.00","$14,000,000.00","$15,250,000.00","$5,648,148.00","$15,500,000.00","$3,000,000.00",,,,,,,,,,,,,,,,,,,,"$66,829,929.00"
46,Miguel Sano,,,,,,,,,,,,,,,,,,"$263,456.00","$547,500.00","$572,500.00","$463,177.00","$2,650,000.00","$5,111,111.00","$11,000,000.00","$12,000,000.00",,"$875,000.00",,,,,,,,,,,,,,,,,,"$33,482,744.00"
47,Wilmer Flores,,,,,,,,,,,,,,,,"$147,267.00","$327,868.00","$513,543.00","$526,014.00","$2,200,000.00","$3,400,000.00","$4,250,000.00","$1,111,111.00","$3,000,000.00","$3,500,000.00","$6,500,000.00","$6,500,000.00","$3,500,000.00",,,,,,,,,,,,,,,,,"$35,475,803.00"
48,Jake Odorizzi,,,,,,,,,,,,,,,"$480,000.00","$66,939.00","$503,100.00","$522,000.00","$520,700.00","$4,100,000.00","$6,300,000.00","$9,500,000.00","$6,592,593.00","$8,000,000.00","$7,500,000.00","$14,500,000.00",,,,,,,,,,,,,,,,,,,"$58,585,332.00"
49,Jarred Cosart,,,,,,,,,,,,,,,,"$187,431.00","$500,000.00","$354,098.00","$279,465.00","$566,300.00",,,,,,,,,,,,,,,,,,,,,,,,,"$1,887,294.00"
50,Brody Colvin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0.00
51,Jean Segura,,,,,,,,,,,,,,,"$170,495.00","$492,000.00","$534,000.00","$534,000.00","$2,600,000.00","$6,200,000.00","$12,000,000.00","$15,350,000.00","$5,277,777.00","$14,250,000.00","$15,250,000.00","$6,500,000.00","$10,500,000.00",,,,,,,,,,,,,,,,,,"$89,658,272.00"
52,Brett Jackson,,,,,,,,,,,,,,,"$157,377.00",,"$46,448.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,"$203,825.00"
53,Jose Iglesias,,,,,,,,,,,,,,,,"$934,427.00","$1,650,000.00","$1,443,750.00","$2,100,000.00","$4,100,000.00","$6,275,000.00","$2,500,000.00","$925,926.00","$7,082,809.00","$5,000,000.00",,,"$3,000,000.00",,,,,,,,,,,,,,,,,"$35,011,912.00"
54,Simon Castro,,,,,,,,,,,,,,,,,,"$116,475.00",,"$535,000.00",,,,,,,,,,,,,,,,,,,,,,,,,"$651,475.00"
55,Alex White,,,,,,,,,,,,,,,"$480,000.00","$497,100.00","$172,819.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,149,919.00"
56,Trey McNutt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0.00
57,Dellin Betances,,,,,,,,,,,,,,"$414,000.00",,"$104,426.00","$502,100.00","$507,500.00","$507,500.00","$3,000,000.00","$5,100,000.00","$7,250,000.00","$6,411,815.00","$6,000,000.00",,,,,,,,,,,,,,,,,,,,,"$29,797,341.00"
58,Nick Franklin,,,,,,,,,,,,,,,,"$337,377.00","$845,710.00","$298,722.00","$191,337.00","$333,222.00","$427,780.00",,,,,,,,,,,,,,,,,,,,,,,,"$2,434,148.00"
59,Grant Green,,,,,,,,,,,,,,,,"$190,108.00","$502,250.00","$148,139.00","$507,500.00","$26,307.00",,,,,,,,,,,,,,,,,,,,,,,,,"$1,374,304.00"
60,J.P. Arencibia,,,,,,,,,,,,,,"$417,400.00","$489,600.00","$505,600.00","$1,800,000.00","$108,155.00",,,,,,,,,,,,,,,,,,,,,,,,,,,"$3,320,755.00"
61,Matt Davidson,,,,,,,,,,,,,,,,"$133,879.00",,,"$507,500.00","$537,000.00","$570,000.00",,"$212,962.00",,"$96,152.00",,,,,,,,,,,,,,,,,,,,"$2,057,493.00"
62,Nolan Arenado,,,,,,,,,,,,,,,,"$415,027.00","$500,000.00","$512,500.00","$5,000,000.00","$11,750,000.00","$17,272,850.00","$26,050,000.00","$12,987,963.00","$15,050,000.00","$31,150,000.00","$31,150,000.00","$31,000,000.00","$28,000,000.00","$23,000,000.00","$17,000,000.00","$2,000,000.00","$2,000,000.00","$2,000,000.00","$2,000,000.00","$3,000,000.00","$3,000,000.00","$3,000,000.00","$3,000,000.00","$3,000,000.00","$3,000,000.00","$3,000,000.00","$3,000,000.00","$3,000,000.00","$3,000,000.00","$288,838,340.00"
63,Aaron Miller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0.00
64,Jordan Lyles,,,,,,,,,,,,,,"$414,000.00","$480,000.00","$404,316.00","$502,000.00","$2,475,000.00","$2,975,000.00","$3,265,613.00","$750,000.00","$3,655,614.00","$2,592,593.00","$8,000,000.00","$7,000,000.00","$8,500,000.00","$8,500,000.00",,,,,,,,,,,,,,,,,,"$49,514,136.00"
65,Billy Hamilton,,,,,,,,,,,,,,,,"$77,650.00","$500,000.00","$545,000.00","$570,000.00","$2,625,000.00","$4,600,000.00","$5,450,000.00","$281,926.00","$1,250,000.00","$367,049.00","$231,168.00",,,,,,,,,,,,,,,,,,,"$16,497,793.00"
66,Tony Sanchez,,,,,,,,,,,,,,,,"$176,721.00","$213,327.00","$33,967.00","$16,638.00","$52,614.00",,,,,,,,,,,,,,,,,,,,,,,,,"$493,267.00"
67,Matt Dominguez,,,,,,,,,,,,,,"$414,000.00","$480,000.00","$491,800.00","$510,100.00",,"$507,500.00",,,,,,,,,,,,,,,,,,,,,,,,,,"$2,403,400.00"
68,Zack Cox,,,,,,,,,,,,,"$700,000.00","$700,000.00","$850,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$2,250,000.00"
69,Nick Castellanos,,,,,,,,,,,,,,,,"$80,327.00","$500,000.00","$525,000.00","$536,500.00","$3,000,000.00","$6,050,000.00","$9,950,000.00","$5,925,926.00","$13,924,496.00","$20,000,000.00","$20,000,000.00","$20,000,000.00","$20,000,000.00","$19,516,141.00",,,,,,,,,,,,,,,,"$140,008,390.00"
70,Jason Kipnis,,,,,,,,,,,,,,"$414,000.00","$482,100.00","$509,400.00","$3,000,000.00","$4,000,000.00","$6,000,000.00","$9,000,000.00","$13,500,000.00","$17,000,000.00","$370,370.00",,,,,,,,,,,,,,,,,,,,,,"$54,275,870.00"
71,Drake Britton,,,,,,,,,,,,,,,"$480,000.00","$208,852.00","$503,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,191,852.00"
72,Anthony Rizzo,,,,,,,,,,,,,,"$149,311.00","$480,000.00","$2,750,000.00","$1,250,000.00","$5,000,000.00","$5,000,000.00","$7,000,000.00","$7,000,000.00","$11,000,000.00","$6,111,111.00","$33,000,000.00","$16,000,000.00","$17,000,000.00","$23,000,000.00",,,,,,,,,,,,,,,,,,"$134,740,422.00"
73,Anthony Ranaudo,,,,,,,,,,,,,,,,,"$84,699.00","$50,016.00","$155,904.00",,,,,,,,,,,,,,,,,,,,,,,,,,"$290,619.00"
74,Jake McGee,,,,,,,,,,,,,"$400,000.00","$415,200.00","$484,200.00","$506,200.00","$1,450,000.00","$3,550,000.00","$4,800,000.00","$5,900,000.00","$7,000,000.00","$8,500,000.00","$3,727,222.00","$4,000,000.00","$3,176,916.00",,,,,,,,,,,,,,,,,,,,"$43,909,738.00"
75,Deck McGuire,,,,,,,,,,,,,,,,,,,,"$58,460.00","$190,450.00",,,,,,,,,,,,,,,,,,,,,,,,"$248,910.00"
76,Yasmani Grandal,,,,,,,,,,,,,"$3,390,000.00","$414,000.00","$480,000.00","$490,000.00","$792,000.00","$693,000.00","$2,800,000.00","$5,500,000.00","$7,900,000.00","$18,250,000.00","$6,759,259.00","$18,250,000.00","$18,250,000.00","$18,250,000.00","$2,500,000.00",,,,,,,,,,,,,,,,,,"$104,718,259.00"
77,Stetson Allie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0.00
78,Craig Kimbrel,,,,,,,,,,,,,"$144,262.00","$419,000.00","$590,000.00","$655,000.00","$8,050,000.00","$9,000,000.00","$11,050,000.00","$13,000,000.00","$13,050,000.00","$10,000,000.00","$5,925,926.00","$16,000,000.00","$16,000,000.00","$10,000,000.00","$13,600,000.00","$451,613.00","$1,065,333.00",,,,,,,,,,,,,,,,"$129,001,134.00"
79,Carlos Perez,,,,,,,,,,,,,,,,,,"$424,303.00","$454,086.00","$143,616.00","$416,060.00",,,,,"$740,000.00",,,,,,,,,,,,,,,,,,,"$2,178,065.00"
80,Jared Mitchell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0.00
81,Wilin Rosario,,,,,,,,,,,,,,,"$480,000.00","$491,000.00","$502,000.00","$2,800,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,"$4,273,000.00"
