Rank,Name,Position,DOB,Highest Level,Age,Career WAR,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,Career Earnings
1,Jurickson Profar,,2/20/1993,,33,,,,,"$86,557.00","$359,530.00","$505,750.00","$509,500.00","$605,000.00","$1,005,000.00","$1,050,000.00","$3,600,000.00","$2,111,111.00","$4,500,000.00","$9,000,000.00","$7,839,033.00","$2,500,000.00","$6,193,548.00",,"$15,000,000.00",,,,,,,,,,,,,,,,"$54,865,029"
2,Dylan Bundy,,,,,,,,"$1,245,000.00","$1,245,000.00","$1,245,000.00","$1,245,000.00","$1,245,000.00","$1,800,000.00","$1,640,000.00","$1,640,000.00","$2,800,000.00","$1,851,852.00","$8,325,000.00","$5,000,000.00",,,,,,,,,,,,,,,,,,,,,"$29,281,852"
3,Oscar Taveras,,,,,,,,,,,"$500,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$500,000"
4,Wil Myers,,,,,,,,,,"$278,469.00","$504,200.00","$519,800.00","$523,900.00","$17,000,000.00","$2,000,000.00","$3,000,000.00","$7,407,407.00","$20,000,000.00","$21,000,000.00","$7,500,000.00","$1,500,000.00",,,,,,,,,,,,,,,,,,,"$81,233,776"
5,Trevor Bauer,,,,,,,,"$900,000.00","$1,183,333.00","$2,175,000.00","$2,425,000.00","$1,940,000.00","$1,697,500.00","$3,550,000.00","$6,525,000.00","$13,000,000.00","$6,481,481.00","$38,000,000.00","$3,868,131.00","$22,537,634.00",,,,,,,,,,,,,,,,,,,,"$104,283,079"
6,Taijuan Walker,,,,,,,,,,"$205,800.00","$304,734.00","$513,100.00","$485,352.00","$2,250,000.00","$4,825,000.00","$5,025,000.00","$1,111,111.00","$10,000,000.00","$10,000,000.00",,,,,,,,,,,,,,,,,,,,,"$34,720,097"
7,Gerrit Cole,,,,,,,,,,"$297,213.00","$512,500.00","$531,000.00","$548,000.00","$3,750,000.00","$6,750,000.00","$13,500,000.00","$13,333,333.00","$36,000,000.00","$36,000,000.00","$36,000,000.00","$36,000,000.00","$36,000,000.00","$36,000,000.00","$36,000,000.00","$36,000,000.00",,,,,,,,,,,,,,,"$327,222,046"
8,Zack Wheeler,,,,,,,,,,"$262,404.00","$512,375.00","$546,250.00","$546,250.00","$800,000.00","$1,900,000.00","$5,975,000.00","$7,962,963.00","$22,500,000.00","$26,000,000.00","$24,500,000.00","$23,500,000.00","$42,000,000.00","$42,000,000.00","$42,000,000.00",,,,,,,,,,,,,,,,"$241,005,242"
9,Travis d’Arnaud,,,,,,,,,,"$117,814.00","$457,707.00","$525,424.00","$542,604.00","$1,875,000.00","$3,475,000.00","$1,289,058.00","$2,962,963.00","$8,000,000.00","$8,000,000.00","$8,000,000.00","$8,000,000.00","$6,000,000.00","$6,000,000.00",,,,,,,,,,,,,,,,,"$55,245,570"
10,Tyler Skaggs,,,,,,,,,"$480,000.00","$56,229.00","$502,250.00","$515,000.00","$515,000.00","$555,000.00","$1,875,000.00","$3,700,000.00",,,,,,,,,,,,,,,,,,,,,,,,"$8,198,479"
