Prospect Rank,Name,Position,DOB,Highest Level,Age,Career WAR,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,Career Earnings
1,Byron Buxton,LHP,6/18/1989,MLB,22.00,8.30,,,,,"$124,795.00","$344,523.00","$535,000.00","$296,210.00","$1,750,000.00","$1,138,889.00","$5,125,000.00","$10,000,000.00","$15,000,000.00","$15,000,000.00","$16,000,000.00","$15,000,000.00","$15,000,000.00","$15,000,000.00",,,,,,,,,,,,,,,,,"$110,347,124"
2,Xander Bogaerts,OF,10/16/1992,AA,19.00,54.10,,,"$112,459.00","$517,000.00","$543,000.00","$650,500.00","$4,500,000.00","$7,050,000.00","$12,000,000.00","$7,407,407.00","$20,000,000.00","$20,000,000.00","$30,000,000.00","$25,000,000.00","$25,000,000.00","$25,000,000.00","$25,000,000.00","$25,000,000.00","$25,000,000.00","$25,000,000.00","$25,000,000.00","$25,000,000.00","$25,000,000.00",,,,,,,,,,,,"$352,814,332"
3,Oscar Taveras,OF,8/7/1991,MLB,20.00,87.50,,,,"$500,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$533,565"
4,Archie Bradley,RHP,1/27/1991,MLB,21.00,20.40,,,,,"$391,024.00","$360,490.00","$544,100.00","$581,900.00","$1,830,000.00","$1,518,519.00","$6,000,000.00","$3,750,000.00","$69,678.00",,,,,,,,,,,,,,,,,,,,,,"$15,079,017"
5,Francisco Lindor,RHP,10/10/1990,AA,21.00,10.30,,,,,"$316,147.00","$540,300.00","$579,300.00","$623,200.00","$10,550,000.00","$6,481,481.00","$22,300,000.00","$48,000,000.00","$27,050,000.00","$27,075,000.00","$27,050,000.00","$27,000,000.00","$27,000,000.00","$27,000,000.00","$27,000,000.00","$27,000,000.00","$27,000,000.00","$5,000,000.00","$5,000,000.00","$5,000,000.00","$5,000,000.00","$5,000,000.00","$5,000,000.00","$5,000,000.00","$5,000,000.00","$5,000,000.00","$5,000,000.00",,,,"$382,598,615"
6,Javier Baez,3B,7/6/1992,A+,19.00,61.70,,,,"$150,273.00","$91,516.00","$521,000.00","$609,000.00","$657,000.00","$5,200,000.00","$3,703,704.00","$11,650,000.00","$20,000,000.00","$22,000,000.00","$25,000,000.00","$25,050,000.00","$24,000,000.00","$24,000,000.00",,,,,,,,,,,,,,,,,,"$162,666,365"
7,Mark Appel,OF,2/20/1993,A,19.00,9.30,,,,,,,,,,,,"$99,996.00",,,,,,,,,,,,,,,,,,,,,,,"$134,044"
8,Carlos Correa,RHP,11/18/1991,A,20.00,14.80,,,,,"$330,013.00","$516,700.00","$535,000.00","$1,000,000.00","$5,000,000.00","$2,962,963.00","$11,700,000.00","$35,100,000.00","$36,000,000.00","$36,100,000.00","$36,000,000.00","$31,500,000.00","$30,500,000.00","$30,000,000.00",,,,,,,,,,,,,,,,,"$257,278,271"
9,Miguel Sano,RHP,1/17/1991,AA,21.00,21.10,,,,,"$263,456.00","$547,500.00","$572,500.00","$463,177.00","$2,650,000.00","$5,111,111.00","$11,000,000.00","$12,000,000.00",,"$875,000.00",,,,,,,,,,,,,,,,,,,,,"$33,516,041"
10,Jonathan Gray,RHP,11/15/1992,other,19.00,7.50,,,,,"$169,166.00","$509,500.00","$540,000.00","$513,248.00","$2,925,000.00","$2,074,074.00","$6,000,000.00","$15,000,000.00","$15,000,000.00","$13,000,000.00","$13,000,000.00",,,,,,,,,,,,,,,,,,,,"$68,764,938"
