Rank,Name,,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,Total
1,Byron Buxton,,,,"$124,795","$344,523","$535,000","$296,210","$1,750,000","$1,138,889","$5,125,000","$10,000,000","$15,000,000","$15,000,000","$16,000,000","$15,000,000","$15,000,000","$15,000,000",,,,,,,,,,,,,,,,"$110,314,417"
2,Kris Bryant,,,,"$471,448","$652,000","$1,050,000","$10,850,000","$12,900,000","$6,888,889","$19,500,000","$24,000,000","$27,000,000","$27,000,000","$26,000,000","$26,000,000","$26,000,000","$26,000,000",,,,,,,,,,,,,,,,"$234,312,337"
3,Carlos Correa,,,,"$330,013","$516,700","$535,000","$1,000,000","$5,000,000","$2,962,963","$11,700,000","$35,100,000","$36,000,000","$36,100,000","$36,000,000","$31,500,000","$30,500,000","$30,000,000",,,,,,,,,,,,,,,,"$257,244,676"
4,Francisco Lindor,,,,"$316,147","$540,300","$579,300","$623,200","$10,550,000","$6,481,481","$22,300,000","$48,000,000","$27,050,000","$27,075,000","$27,050,000","$27,000,000","$27,000,000","$27,000,000","$27,000,000","$27,000,000",,,,,,,,,,,,,,"$305,565,428"
5,Addison Russell,,,,"$460,355","$527,000","$644,000","$3,010,752","$3,400,000",,,,,,,,,,,,,,,,,,,,,,,,,"$8,042,107"
6,Lucas Giolito,,,,,"$108,147","$119,843","$555,000","$573,000","$232,222","$4,150,000","$7,450,000","$10,400,000","$18,000,000","$20,500,000","$1,500,000","$1,500,000",,,,,,,,,,,,,,,,,"$65,088,212"
7,Corey Seager,,,,"$85,969","$510,000","$575,000","$605,000","$4,000,000","$2,814,815","$13,750,000","$37,500,000","$35,000,000","$34,500,000","$32,000,000","$31,000,000","$31,000,000","$31,000,000","$31,000,000","$31,000,000","$31,000,000",,,,,,,,,,,,,"$347,340,784"
8,Julio Urías,,,,,"$271,754","$70,824","$502,690","$565,000","$370,370","$3,600,000","$8,000,000","$14,250,000",,,,,,,,,,,,,,,,,,,,,"$27,630,638"
9,Joey Gallo,,,,"$171,939","$108,576","$537,120","$560,000","$605,500","$1,629,630","$12,400,000","$10,275,000","$11,000,000","$5,200,000",,,,,,,,,,,,,,,,,,,,"$42,487,765"
10,Noah Syndergaard,,,,"$410,437","$535,375","$605,500","$2,975,000","$6,000,000","$3,592,592","$9,700,000","$21,000,000","$13,000,000",,,,,,,,,,,,,,,,,,,,,"$57,818,904"
