rank,name,pos,age,level,mu_v7,mu_new,off_v7,off_new,chg,b
1,Konnor Griffin,SS,20,MLB,229808426.75253245,210049241.40932545,484078.5551370293,442456.94000833604,-0.08598111750046711,1-10
2,Jesús Made,SS,19,AA,130720280.06084517,155958631.4936334,219511.26794716547,261892.62240363393,0.19307143024051632,1-10
3,Nolan McLean,RHP,24,MLB,82406530.67148183,89864263.56387539,173584.73257494078,189294.02841827954,0.09049929455378036,1-10
4,Samuel Basallo,C,21,MLB,186477132.8596363,102255741.50253241,392803.6161093202,215395.9813419504,-0.451644606851063,1-10
5,Kevin McGonigle,3B,21,MLB,236529720.93195018,108884114.49467644,498236.5841571187,229358.27709536767,-0.5396599037716596,1-10
6,Leo De Vries,SS,19,AA,124156369.32499677,93297220.3394115,208488.85912393287,156668.81315674778,-0.2485506716518674,1-10
7,Max Clark,CF,21,AAA,9596640.799488716,78836346.29274087,18048.915467612147,148271.73171771594,7.214993969237762,1-10
8,Franklin Arias,SS,20,AA,115475322.63795358,79426015.48644702,193911.2621015396,133375.67330261166,-0.3121819132260051,1-10
9,Trey Yesavage,RHP,22,MLB,91936655.64501104,56675470.31142714,193659.4060438522,119383.69783807293,-0.3835378292390317,1-10
10,Bubba Chandler,RHP,23,MLB,82670621.11710119,52543717.4713232,174141.0242790678,110680.3923358138,-0.3644209180804855,1-10
11,Thomas White,LHP,21,AAA,85940188.83529949,64277093.26579768,161632.30821784906,120889.36609151957,-0.25207177064758546,11-25
12,Seth Hernandez,RHP,19,A+,60476685.39325535,53627413.64444414,90674.21540521599,80404.93001230601,-0.11325474774738709,11-25
13,Colt Emerson,SS,20,MLB,196899246.0064937,63292258.07862803,414757.2126109757,133321.58996525832,-0.6785551018486852,11-25
14,JJ Wetherholt,2B,23,MLB,104585158.8659739,56477462.79462243,220302.7683015954,118966.60611521671,-0.4599858774704505,11-25
15,Eli Willits,SS,18,A+,97943159.85839538,62407099.39902551,146848.64285664188,93568.53367418596,-0.36282329986848827,11-25
16,Chase DeLauter,RF,24,MLB,122521342.88354957,49476091.8154958,258084.33343649632,104218.61103319302,-0.5961838921197562,11-25
17,Payton Tolle,LHP,23,MLB,109204208.49500452,49738115.8658574,230032.53714482053,104770.54999166637,-0.5445403015934809,11-25
18,River Ryan,RHP,27,MLB,51336615.270498954,35911782.23111846,108137.69928693371,75646.15406185882,-0.30046455065463784,11-25
19,Ryan Sloan,RHP,20,AA,53569732.92506626,42128517.10067549,89956.66160215449,70744.06665284596,-0.21357612218068778,11-25
20,Bryce Eldridge,1B,21,MLB,346241594.6160295,56936700.49766732,729338.489534834,119933.96456632261,-0.8355578839081762,11-25
21,Andrew Painter,RHP,23,MLB,71750147.03764078,37138541.331149995,151137.65843866213,78230.25326586212,-0.48239072859785526,11-25
22,Josue De Paula,RF,21,AA,86459292.1227353,46146315.472242326,145186.26207687223,77490.93113698093,-0.4662654026043348,11-25
23,Alfredo Duno,C,20,AA,88139570.70688051,46331849.15417817,148007.8600901147,77802.48749036148,-0.47433543432766756,11-25
24,Luis Peña,SS,19,A+,96940974.64406948,48786142.18779971,145346.0413597377,73146.2899588639,-0.49674384472691835,11-25
25,Rainiel Rodriguez,C,19,AA,90007103.33369535,45752864.3372243,151143.90336246704,76830.23061306177,-0.4916749607239487,11-25
26,Carson Benge,CF,23,MLB,10314470.152962113,40481594.75125868,21726.852575456705,85272.20769817181,2.9247381737425613,26-50
