player,year,salary_nominal
Aaron Blair,2016,249570
Aaron Blair,2017,11692
Aaron Cook,2003,300000
Aaron Cook,2004,300000
Aaron Cook,2005,326000
Aaron Cook,2006,1250000
Aaron Cook,2007,3100000
Aaron Cook,2008,4500000
Aaron Cook,2009,9583333
Aaron Cook,2010,9833333
Aaron Cook,2011,10708334
Aaron Cook,2012,1254098
Aaron Crow,2010,900000
Aaron Crow,2011,1400000
Aaron Crow,2012,1600000
Aaron Crow,2013,1280000
Aaron Crow,2014,1475000
Aaron Crow,2015,1975000
Aaron Heilman,2005,316000
Aaron Heilman,2006,359000
Aaron Heilman,2007,453000
Aaron Heilman,2008,1200000
Aaron Heilman,2009,1625000
Aaron Heilman,2010,2150000
Aaron Heilman,2011,2000000
Aaron Hicks,2013,332072
Aaron Hicks,2014,288415
Aaron Hicks,2015,408060
Aaron Hicks,2016,574000
Aaron Hicks,2017,1350000
Aaron Hicks,2018,2825000
Aaron Hicks,2019,8000000
Aaron Hicks,2020,3888888
Aaron Hicks,2021,10500000
Aaron Hicks,2022,10500000
Aaron Hicks,2023,10500000
Aaron Hicks,2024,9500000
Aaron Hicks,2025,10785714
Aaron Hicks,2026,1000000
Aaron Hill,2006,336000
Aaron Hill,2007,395300
Aaron Hill,2008,410000
Aaron Hill,2009,2590000
Aaron Hill,2010,4000000
Aaron Hill,2011,5000000
Aaron Hill,2012,5500000
Aaron Hill,2013,5500000
Aaron Hill,2014,11000000
Aaron Hill,2015,12000000
Aaron Hill,2016,13000000
Aaron Hill,2017,2000000
Aaron Judge,2016,141423
Aaron Judge,2017,544500
Aaron Judge,2018,622300
Aaron Judge,2019,684300
Aaron Judge,2020,3148148
Aaron Judge,2021,10175000
Aaron Judge,2022,19000000
Aaron Judge,2023,40000000
Aaron Judge,2024,40000000
Aaron Judge,2025,40000000
Aaron Judge,2026,40000000
Aaron Judge,2027,40000000
Aaron Judge,2028,40000000
Aaron Judge,2029,40000000
Aaron Judge,2030,40000000
Aaron Judge,2031,40000000
Aaron Nola,2015,207991
Aaron Nola,2016,517500
Aaron Nola,2017,544000
Aaron Nola,2018,573000
Aaron Nola,2019,6000000
Aaron Nola,2020,2962962
Aaron Nola,2021,11750000
Aaron Nola,2022,15000000
Aaron Nola,2023,16000000
Aaron Nola,2024,24571428
Aaron Nola,2025,24571428
Aaron Nola,2026,24571428
Aaron Nola,2027,24571428
Aaron Nola,2028,24571428
Aaron Nola,2029,24571428
Aaron Nola,2030,24571432
Aaron Sanchez,2014,188524
Aaron Sanchez,2015,510800
Aaron Sanchez,2016,492420
Aaron Sanchez,2017,535000
Aaron Sanchez,2018,2700000
Aaron Sanchez,2019,3900000
Aaron Sanchez,2021,4000000
Aaron Sanchez,2022,526368
Adalberto Mondesi,2016,191337
Adalberto Mondesi,2017,149736
Adalberto Mondesi,2018,310580
Adalberto Mondesi,2019,576000
Adalberto Mondesi,2020,223889
Adalberto Mondesi,2021,2525000
Adalberto Mondesi,2022,3000000
Adalberto Mondesi,2023,3045000
Adam Dunn,2002,300000
Adam Dunn,2003,400000
Adam Dunn,2004,445000
Adam Dunn,2005,4600000
Adam Dunn,2006,7500000
Adam Dunn,2007,10500000
Adam Dunn,2008,13000000
Adam Dunn,2009,8000000
Adam Dunn,2010,12000000
Adam Dunn,2011,12000000
Adam Dunn,2012,14000000
Adam Dunn,2013,15000000
Adam Dunn,2014,15000000
Adam Eaton,2013,491000
Adam Eaton,2014,511000
Adam Eaton,2015,850000
Adam Eaton,2016,2750000
Adam Eaton,2017,4000000
Adam Eaton,2018,6000000
